"F_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT","LENGTH","TRIP_DENSITY","RFP_bound","CNTY_NM","RFP_zone","scenario"
164,1542.14,37336.58,23004.58,24542.57,22796.88,33.2540338024007,21967.8975,660.608503333333,14.2450734044899,0.0701997084609485,1,"NewCa E","Study Area","tp2_bau_2050_121520"
142,1598.84,45446.86,27753.24,29653.39,27432.01,32.5796476894029,23559.2779,723.128688333333,14.7352317305046,0.0678645587859889,1,"NewCa W","Study Area","tp2_bau_2050_121520"
154,1912.84,42679.52,26412.86,28330.76,26268.29,32.7552000367005,27960.2477,853.612485,14.6171387570314,0.0684128417074073,1,"NewCa W","Study Area","tp2_bau_2050_121520"
152,2662.5,45046.75,28035.46,30073.22,27628.39,31.3549464406584,36937.8172,1178.05390833333,13.87335857277,0.0720805992834899,1,"NewCa W","Study Area","tp2_bau_2050_121520"
149,2691.21,26110.77,15280.68,15735.74,15195.03,31.8189705815461,33178.695,1042.73313666667,12.3285418083316,0.0811125934880802,1,"NewCa E","Study Area","tp2_bau_2050_121520"
327,2953.35,42736.25,25865.33,28396.88,25570.84,29.3060655078547,40107.5297,1368.574355,13.5803510251071,0.0736357991152968,1,"NewCa W","Study Area","tp2_bau_2050_121520"
227,3536.68,24060.06,13818.21,14432.33,13715.9,31.3951043762588,43365.8242,1381.29256333333,12.2617325288123,0.0815545435891888,1,"NewCa E","Study Area","tp2_bau_2050_121520"
151,12118.58,46806.61,29213.52,29630.08,28971.31,31.8292952541655,165545.7912,5201.05110333333,13.6604941503047,0.0732037940207084,1,"NewCa W","Study Area","tp2_bau_2050_121520"
329,3.88,1139.94,628.85,767.73,609.3,29.5080564234917,29.3075,0.993203333333333,7.5534793814433,0.132389320139896,1,"NewCa E","Study Area","tp2_c_2050_121520"
225,15.76,5698.36,3582.07,4238.34,3507.31,33.5914461032545,194.9694,5.80413833333333,12.371154822335,0.0808331974145686,1,"NewCa W","Study Area","tp2_c_2050_121520"
345,129.04,11970.68,7081.08,7933.26,6993.88,32.410048733809,1471.3952,45.3993516666667,11.4026286422815,0.0876990763596347,1,"NewCa W","Study Area","tp2_c_2050_121520"
224,136.37,19816.76,12679.66,13872.02,12561.4,34.7905516441274,1961.8584,56.3905516666667,14.3862902397888,0.069510623192785,1,"NewCa W","Study Area","tp2_c_2050_121520"
153,198.11,24847.47,16390.43,18512.17,16293.76,34.6443209629763,4095.1483,118.205471666667,20.6710832365857,0.048376758419225,1,"NewCa W","Study Area","tp2_c_2050_121520"
228,286.17,11375,6395.39,6994.19,6333.75,31.6634703015762,2939.6588,92.8407016666667,10.2724212880456,0.0973480323634838,1,"NewCa E","Study Area","tp2_c_2050_121520"
223,466.09,14048.02,7911.83,8733.63,7859.75,30.8198473197112,5789.9136,187.86315,12.4223081379133,0.0805003376907041,1,"NewCa W","Study Area","tp2_c_2050_121520"
155,529.06,32431.22,20381.62,22769.88,20232.43,31.9568443679326,7797.7162,244.007703333333,14.738812611046,0.0678480706953659,1,"NewCa W","Study Area","tp2_c_2050_121520"
