"F_TAZ","T_TAZ","PM_VEH","CGST_TIME","CGST_DIST","FREE_TIME","FREE_DIST","MPH","PMT","PHT"
7,229,0.07,11.09,9.61,11.09,9.61,51.9927862939585,0.6727,0.0129383333333333
7,237,0.03,13.51,10.92,13.51,10.92,48.4974093264249,0.3276,0.006755
7,238,0.11,10.91,8.77,10.91,8.77,48.230980751604,0.9647,0.0200016666666667
7,318,0.24,8.88,7.57,8.88,7.57,51.1486486486486,1.8168,0.03552
7,327,0.31,13.9,11.73,13.9,11.73,50.6330935251799,3.6363,0.0718166666666667
7,344,0.15,11.54,9.8,11.54,9.8,50.9532062391681,1.47,0.02885
7,345,0.02,11.17,9.04,11.17,9.04,48.5586392121755,0.1808,0.00372333333333333
8,142,0.41,13.23,8.33,13.23,8.33,37.7777777777778,3.4153,0.090405
8,149,1.82,8.89,7.52,8.91,7.52,50.7536557930259,13.6864,0.269663333333333
8,150,0.04,9.7,7.99,9.72,7.99,49.4226804123711,0.3196,0.00646666666666667
8,151,2.5,10.42,8.41,10.43,8.41,48.426103646833,21.025,0.434166666666667
8,152,0.82,12.21,10.09,12.23,10.09,49.5823095823096,8.2738,0.16687
8,154,2.92,11.31,9.82,11.33,9.82,52.0954907161804,28.6744,0.55042
8,155,0.17,12.96,10.94,12.98,10.94,50.6481481481481,1.8598,0.03672
8,158,0.18,14.44,12.06,14.46,12.06,50.1108033240997,2.1708,0.04332
8,164,1.56,10.11,7.74,11.08,7.74,45.9347181008902,12.0744,0.26286
8,222,0.75,10.78,8.81,10.8,8.81,49.0352504638219,6.6075,0.13475
8,223,0.13,11.34,9.8,11.36,9.8,51.8518518518519,1.274,0.02457
8,224,0.04,10.96,8.8,10.98,8.8,48.1751824817518,0.352,0.00730666666666667
8,226,0.3,11.13,8.86,11.15,8.86,47.7628032345013,2.658,0.05565
8,227,0.38,10.75,8.83,10.77,8.83,49.2837209302326,3.3554,0.0680833333333333
8,228,0.09,8.73,7.46,8.75,7.46,51.2714776632302,0.6714,0.013095
8,229,0.35,11.22,9.86,11.24,9.86,52.7272727272727,3.451,0.06545
8,237,0.11,13.65,11.18,13.67,11.18,49.1428571428571,1.2298,0.025025
8,238,0.53,11.04,9.02,11.06,9.02,49.0217391304348,4.7806,0.09752
8,318,1.18,9.01,7.82,9.03,7.82,52.0754716981132,9.2276,0.177196666666667
8,327,1.53,14.04,11.98,14.06,11.98,51.1965811965812,18.3294,0.35802
8,344,0.86,11.68,10.05,11.7,10.05,51.6267123287671,8.643,0.167413333333333
8,345,0.17,11.3,9.3,11.32,9.3,49.3805309734513,1.581,0.0320166666666667
9,142,0.13,12.64,8.08,12.64,8.08,38.3544303797468,1.0504,0.0273866666666667
9,149,0.53,8.49,7.16,8.49,7.16,50.6007067137809,3.7948,0.074995
9,150,0.01,9.3,7.63,9.3,7.63,49.2258064516129,0.0763,0.00155
9,151,0.8,10.01,8.05,10.01,8.05,48.2517482517483,6.44,0.133466666666667
9,152,0.26,11.81,9.73,11.81,9.73,49.432684165961,2.5298,0.0511766666666667
9,154,0.58,10.91,9.46,10.91,9.46,52.025664527956,5.4868,0.105463333333333
9,155,0.06,12.56,10.57,12.56,10.57,50.4936305732484,0.6342,0.01256
